<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2020.09.18;11:48:00;122410;122410;122370;122400;123;204;10
2020.09.18;11:49:00;122400;122430;122380;122430;78;183;10
2020.09.18;11:50:00;122410;122410;122360;122390;159;298;10
2020.09.18;11:51:00;122380;122380;122300;122320;383;767;10
2020.09.18;11:52:00;122330;122370;122310;122370;209;362;10
2020.09.18;11:53:00;122360;122410;122360;122400;108;215;10
2020.09.18;11:54:00;122400;122420;122370;122390;105;211;10
2020.09.18;11:55:00;122400;122420;122380;122410;77;105;10
2020.09.18;11:56:00;122410;122410;122350;122350;75;112;10
2020.09.18;11:57:00;122350;122390;122350;122390;83;141;10
2020.09.18;11:58:00;122380;122390;122360;122380;70;132;10
2020.09.18;11:59:00;122370;122390;122340;122350;139;254;10
2020.09.18;12:00:00;122350;122430;122310;122420;401;738;10
2020.09.18;12:01:00;122430;122450;122410;122440;183;315;10
2020.09.18;12:02:00;122450;122480;122370;122380;241;504;10
2020.09.18;12:03:00;122370;122410;122360;122410;155;280;10
2020.09.18;12:04:00;122420;122490;122410;122430;298;580;10
2020.09.18;12:05:00;122430;122480;122400;122410;247;521;10
2020.09.18;12:06:00;122400;122440;122390;122400;146;264;10
2020.09.18;12:07:00;122410;122480;122400;122480;129;315;10
2020.09.18;12:08:00;122480;122530;122450;122520;315;741;10
2020.09.18;12:09:00;122510;122590;122500;122550;510;1321;10
2020.09.18;12:10:00;122550;122590;122520;122550;267;573;10
2020.09.18;12:11:00;122550;122630;122540;122570;425;819;10
2020.09.18;12:12:00;122570;122630;122570;122620;205;423;10
2020.09.18;12:13:00;122630;122660;122610;122640;173;342;10
2020.09.18;12:14:00;122640;122690;122620;122640;389;885;10
2020.09.18;12:15:00;122640;122660;122560;122590;293;607;10
2020.09.18;12:16:00;122590;122610;122570;122610;95;179;10
2020.09.18;12:17:00;122620;122620;122590;122600;85;140;10
2020.09.18;12:18:00;122600;122600;122560;122580;224;487;10
2020.09.18;12:19:00;122580;122620;122580;122580;76;196;10
2020.09.18;12:20:00;122580;122600;122520;122580;338;651;10
2020.09.18;12:21:00;122590;122650;122590;122640;155;287;10
2020.09.18;12:22:00;122630;122640;122620;122620;105;189;10
2020.09.18;12:23:00;122620;122620;122580;122610;96;206;10
2020.09.18;12:24:00;122610;122640;122590;122630;116;203;10
2020.09.18;12:25:00;122630;122630;122610;122620;53;89;10
2020.09.18;12:26:00;122620;122630;122600;122610;61;153;10
2020.09.18;12:27:00;122610;122640;122600;122620;84;160;10
2020.09.18;12:28:00;122610;122670;122610;122660;130;241;10
2020.09.18;12:29:00;122660;122670;122630;122630;130;264;10
2020.09.18;12:30:00;122630;122640;122580;122600;197;384;10
2020.09.18;12:31:00;122600;122610;122570;122600;162;357;10
2020.09.18;12:32:00;122600;122660;122590;122590;334;977;10
2020.09.18;12:33:00;122600;122620;122590;122610;144;254;10
2020.09.18;12:34:00;122610;122620;122570;122570;123;240;10
2020.09.18;12:35:00;122570;122590;122520;122550;266;596;10
2020.09.18;12:36:00;122540;122580;122540;122570;85;133;10
2020.09.18;12:37:00;122570;122610;122570;122580;120;227;10
2020.09.18;12:38:00;122590;122600;122570;122590;44;65;10
2020.09.18;12:39:00;122590;122620;122580;122590;147;358;10
2020.09.18;12:40:00;122580;122650;122580;122640;198;402;10
2020.09.18;12:41:00;122630;122650;122610;122650;87;197;10
2020.09.18;12:42:00;122640;122780;122640;122760;919;2239;10
2020.09.18;12:43:00;122750;122880;122750;122860;720;1731;10
2020.09.18;12:44:00;122860;122940;122860;122920;853;2105;10
2020.09.18;12:45:00;122920;122930;122870;122900;426;905;10
2020.09.18;12:46:00;122900;122930;122890;122900;231;436;10
2020.09.18;12:47:00;122890;122930;122870;122920;289;538;10
2020.09.18;12:48:00;122930;122970;122920;122930;470;1074;10
2020.09.18;12:49:00;122930;122950;122910;122950;190;380;10
2020.09.18;12:50:00;122960;122960;122820;122890;797;1712;10
2020.09.18;12:51:00;122900;122900;122830;122830;312;594;10
2020.09.18;12:52:00;122820;122870;122810;122870;221;491;10
2020.09.18;12:53:00;122860;122860;122800;122800;181;335;10
2020.09.18;12:54:00;122810;122820;122760;122810;394;866;10
2020.09.18;12:55:00;122810;122880;122800;122880;286;495;10
2020.09.18;12:56:00;122880;122930;122850;122870;250;551;10
2020.09.18;12:57:00;122880;122890;122750;122750;279;652;10
2020.09.18;12:58:00;122750;122820;122750;122780;215;463;10
2020.09.18;12:59:00;122770;122790;122750;122780;249;629;10
2020.09.18;13:00:00;122780;122790;122640;122660;619;1333;10
2020.09.18;13:01:00;122660;122710;122640;122700;196;373;10
2020.09.18;13:02:00;122690;122740;122690;122710;167;306;10
2020.09.18;13:03:00;122710;122790;122710;122750;174;362;10
2020.09.18;13:04:00;122750;122750;122710;122740;98;162;10
2020.09.18;13:05:00;122750;122780;122740;122770;128;193;10
2020.09.18;13:06:00;122780;122790;122750;122780;86;145;10
2020.09.18;13:07:00;122780;122780;122740;122740;61;119;10
2020.09.18;13:08:00;122760;122820;122760;122820;123;217;10
2020.09.18;13:09:00;122810;122860;122790;122840;267;477;10
2020.09.18;13:10:00;122850;122890;122830;122840;278;414;10
2020.09.18;13:11:00;122840;122930;122840;122880;280;542;10
2020.09.18;13:12:00;122880;122910;122870;122880;169;326;10
2020.09.18;13:13:00;122880;122890;122830;122840;124;321;10
2020.09.18;13:14:00;122840;122890;122820;122880;146;258;10
2020.09.18;13:15:00;122890;122890;122830;122850;150;297;10
2020.09.18;13:16:00;122840;122860;122770;122800;192;349;10
2020.09.18;13:17:00;122800;122800;122720;122730;202;445;10
2020.09.18;13:18:00;122720;122730;122690;122730;268;567;10
2020.09.18;13:19:00;122730;122730;122700;122720;101;189;10
2020.09.18;13:20:00;122730;122760;122720;122760;95;172;10
2020.09.18;13:21:00;122750;122770;122730;122770;113;202;10
2020.09.18;13:22:00;122770;122790;122720;122720;179;321;10
2020.09.18;13:23:00;122720;122780;122720;122730;76;116;10
2020.09.18;13:24:00;122750;122770;122660;122670;268;475;10
2020.09.18;13:25:00;122670;122710;122660;122700;154;355;10
2020.09.18;13:26:00;122710;122720;122680;122690;57;110;10
2020.09.18;13:27:00;122700;122710;122660;122680;90;144;10
2020.09.18;13:28:00;122680;122690;122660;122690;76;162;10
2020.09.18;13:29:00;122670;122690;122570;122590;487;1249;10
2020.09.18;13:30:00;122590;122680;122580;122650;358;786;10
2020.09.18;13:31:00;122670;122710;122660;122700;224;399;10
2020.09.18;13:32:00;122710;122710;122630;122670;137;256;10
2020.09.18;13:33:00;122670;122680;122640;122670;83;147;10
2020.09.18;13:34:00;122690;122750;122680;122710;215;480;10
2020.09.18;13:35:00;122710;122740;122700;122740;102;195;10
2020.09.18;13:36:00;122750;122760;122680;122680;196;363;10
2020.09.18;13:37:00;122680;122690;122660;122690;103;172;10
2020.09.18;13:38:00;122680;122690;122650;122670;78;142;10
2020.09.18;13:39:00;122670;122670;122600;122630;164;319;10
2020.09.18;13:40:00;122630;122640;122550;122580;357;845;10
2020.09.18;13:41:00;122590;122600;122520;122530;249;410;10
2020.09.18;13:42:00;122530;122570;122520;122560;154;290;10
2020.09.18;13:43:00;122570;122600;122550;122560;102;178;10
2020.09.18;13:44:00;122560;122590;122560;122590;88;122;10
2020.09.18;13:45:00;122590;122600;122530;122540;124;196;10
2020.09.18;13:46:00;122550;122550;122500;122550;414;818;10
2020.09.18;13:47:00;122550;122570;122540;122560;117;197;10
2020.09.18;13:48:00;122570;122590;122550;122560;93;141;10
2020.09.18;13:49:00;122570;122640;122570;122620;185;382;10
2020.09.18;13:50:00;122630;122650;122590;122600;139;377;10
2020.09.18;13:51:00;122600;122620;122580;122620;80;143;10
2020.09.18;13:52:00;122610;122630;122580;122600;54;142;10
2020.09.18;13:53:00;122600;122600;122570;122590;89;134;10
2020.09.18;13:54:00;122590;122630;122570;122600;138;262;10
2020.09.18;13:55:00;122600;122640;122590;122630;94;177;10
2020.09.18;13:56:00;122620;122670;122620;122630;175;291;10
2020.09.18;13:57:00;122620;122670;122590;122660;193;366;10
2020.09.18;13:58:00;122650;122670;122630;122660;228;581;10
2020.09.18;13:59:00;122650;122690;122650;122680;112;179;10
2020.09.18;14:05:00;122670;122790;122660;122740;377;924;10
2020.09.18;14:06:00;122760;122790;122760;122780;180;312;10
2020.09.18;14:07:00;122770;122780;122730;122760;143;280;10
2020.09.18;14:08:00;122760;122780;122740;122750;114;212;10
2020.09.18;14:09:00;122750;122810;122740;122790;178;360;10
2020.09.18;14:10:00;122800;122810;122750;122750;194;469;10
2020.09.18;14:11:00;122750;122770;122720;122740;131;213;10
2020.09.18;14:12:00;122750;122790;122710;122720;254;707;10
2020.09.18;14:13:00;122730;122750;122710;122750;181;526;10
2020.09.18;14:14:00;122750;122770;122720;122730;218;534;10
2020.09.18;14:15:00;122730;122730;122620;122630;445;837;10
2020.09.18;14:16:00;122630;122730;122630;122700;204;323;10
2020.09.18;14:17:00;122690;122780;122690;122760;191;372;10
2020.09.18;14:18:00;122750;122750;122700;122710;107;169;10
2020.09.18;14:19:00;122710;122720;122600;122610;349;594;10
2020.09.18;14:20:00;122610;122610;122510;122600;550;1143;10
2020.09.18;14:21:00;122590;122590;122510;122540;228;388;10
2020.09.18;14:22:00;122530;122560;122420;122430;720;1847;10
2020.09.18;14:23:00;122430;122460;122410;122450;394;738;10
2020.09.18;14:24:00;122450;122480;122420;122450;235;523;10
2020.09.18;14:25:00;122460;122500;122450;122450;238;414;10
2020.09.18;14:26:00;122460;122490;122420;122470;245;465;10
2020.09.18;14:27:00;122480;122510;122470;122500;115;169;10
2020.09.18;14:28:00;122500;122520;122470;122470;116;236;10
2020.09.18;14:29:00;122460;122470;122410;122410;260;413;10
2020.09.18;14:30:00;122410;122430;122350;122400;646;1346;10
2020.09.18;14:31:00;122400;122420;122310;122350;417;832;10
2020.09.18;14:32:00;122340;122420;122320;122410;303;477;10
2020.09.18;14:33:00;122420;122420;122380;122400;103;186;10
2020.09.18;14:34:00;122400;122470;122380;122440;344;1148;10
2020.09.18;14:35:00;122440;122480;122420;122430;277;767;10
2020.09.18;14:36:00;122430;122430;122350;122350;368;675;10
2020.09.18;14:37:00;122370;122390;122330;122340;191;422;10
2020.09.18;14:38:00;122350;122350;122300;122300;293;533;10
2020.09.18;14:39:00;122300;122370;122300;122370;302;565;10
2020.09.18;14:40:00;122370;122420;122350;122360;253;422;10
2020.09.18;14:41:00;122360;122400;122330;122380;121;180;10
2020.09.18;14:42:00;122380;122440;122370;122430;217;382;10
2020.09.18;14:43:00;122430;122440;122380;122420;152;314;10
2020.09.18;14:44:00;122420;122420;122380;122390;168;305;10
2020.09.18;14:45:00;122380;122420;122370;122400;148;212;10
2020.09.18;14:46:00;122400;122420;122390;122410;70;96;10
2020.09.18;14:47:00;122410;122410;122380;122390;91;318;10
2020.09.18;14:48:00;122380;122440;122380;122440;228;348;10
2020.09.18;14:49:00;122430;122430;122360;122380;171;319;10
2020.09.18;14:50:00;122380;122380;122270;122280;541;1171;10
2020.09.18;14:51:00;122280;122300;122230;122300;494;1207;10
2020.09.18;14:52:00;122280;122300;122220;122220;222;468;10
2020.09.18;14:53:00;122230;122230;122130;122150;1062;2908;10
2020.09.18;14:54:00;122140;122190;122130;122170;394;723;10
2020.09.18;14:55:00;122160;122160;122070;122120;701;1743;10
2020.09.18;14:56:00;122120;122120;122090;122100;262;675;10
2020.09.18;14:57:00;122090;122140;122090;122140;176;407;10
2020.09.18;14:58:00;122140;122160;122110;122160;194;494;10
2020.09.18;14:59:00;122160;122200;122150;122160;361;625;10
2020.09.18;15:00:00;122160;122180;122120;122120;262;619;10
2020.09.18;15:01:00;122120;122150;122110;122130;252;553;10
2020.09.18;15:02:00;122120;122120;122070;122070;281;849;10
2020.09.18;15:03:00;122070;122090;122030;122040;460;1008;10
2020.09.18;15:04:00;122040;122070;122030;122040;229;514;10
2020.09.18;15:05:00;122040;122070;122010;122030;360;868;10
2020.09.18;15:06:00;122030;122080;122020;122070;291;720;10
2020.09.18;15:07:00;122070;122110;122060;122060;320;717;10
2020.09.18;15:08:00;122060;122070;122030;122040;265;652;10
2020.09.18;15:09:00;122030;122070;122010;122050;227;448;10
2020.09.18;15:10:00;122050;122070;122030;122030;159;394;10
2020.09.18;15:11:00;122020;122090;122020;122060;280;586;10
